,0,1,2,sentiment
0,2020-12-08 22:24:52,1.33644E+18,"RT @nebia: This holiday season we encourage you to “Buy less, choose well, and make it last” with products from some of our favorite like-m…",2
1,2020-12-08 22:00:25,1.33643E+18,"Meet the Cream Fry Pan. For when you want to match your equally chic silk skirt.
📷: @glowwithava https://t.co/TPw96skcnk",3
2,2020-12-08 21:37:48,1.33642E+18,@MinibarDelivery @CarawayHome @littlesecretsco Entered ty @Ericaann711 @littlepinkheart @Twitchloroform @iSandraChesney,2
3,2020-12-08 21:33:25,1.33642E+18,"RT @MinibarDelivery: Enter the Date Night at Home Giveaway to win over $200 worth of prizes. Win a frying pan from @CarawayHome, chocolates…",3
4,2020-12-08 21:32:13,1.33642E+18,"Enter the Date Night at Home Giveaway to win over $200 worth of prizes. Win a frying pan from @CarawayHome, chocolates from @littlesecretsco, and a $75 Minibar Delivery gift card. Click the link to enter. https://t.co/EbDgMCZ4CE https://t.co/ioFLW1qrb9",3
5,2020-12-08 17:21:20,1.33636E+18,@grouphugsolar @livelarq @coyuchi @CarawayHome @bitetoothpaste @myceremonia @TallerMaya Thank you for the shout out :),2
6,2020-12-08 16:33:16,1.33635E+18,I just wrote a review on Cookware Set https://t.co/WejdXy1Htj via @yotpo,3
7,2020-12-08 14:02:10,1.33631E+18,"'Tis the season to shop! We've got you covered on the perfect products from @CarawayHome @drinkhaus and @misfitsmarket for your #foodie friend. Beware, you may have trouble not cracking into them yourself before gifting. https://t.co/O47cmLPMUw",3
8,2020-12-08 03:02:53,1.33614E+18,"RT @nebia: This holiday season we encourage you to “Buy less, choose well, and make it last” with products from some of our favorite like-m…",2
9,2020-12-07 22:49:48,1.33608E+18,"This holiday season we encourage you to “Buy less, choose well, and make it last” with products from some of our favorite like-minded brands 
🎁💙🌍  

@livelarq @coyuchi @CarawayHome @bitetoothpaste @myceremonia @grouphugsolar @TallerMaya  
https://t.co/LRL63Aift8",3
10,2020-12-07 18:53:39,1.33602E+18,"@kyliekall oh no, it absolutely is warranted. shoot us a message at help@carawayhome.com and we can see what we can do!",3
11,2020-12-06 15:20:48,1.33561E+18,I just wrote a review on Cookware Set https://t.co/ECy5D2ewlr via @yotpo,3
12,2020-12-04 23:49:33,1.33501E+18,@rudyferraz @Joshmedia @AquaTru @SodaStreamUSA @moccamasterusa @Baratza @ChefnCorp @CarawayHome 😁🙏🙏🙏,2
13,2020-12-04 23:40:03,1.33501E+18,"@Joshmedia @AquaTru @SodaStreamUSA @moccamasterusa @Baratza @ChefnCorp If you or anyone else needs a solid set of chemical free cookware.. @CarawayHome 

Top notch cookware!!

And thanks to @bzises for funding the team!",3
14,2020-12-04 20:20:10,1.33496E+18,@SimpliSafe @paige_sandhu @MrMerryman @CarawayHome 🍳🎁✨,2
15,2020-12-04 17:19:39,1.33491E+18,@paige_sandhu @MrMerryman @ourplace @CarawayHome yes. https://t.co/xvVgtwpyS5,2
16,2020-12-04 16:22:06,1.3349E+18,I just wrote a review on Cookware Set https://t.co/5Xtm1eeaiC via @yotpo,3
17,2020-12-04 14:31:59,1.33487E+18,I just wrote a review on Sauce Pan https://t.co/JTVZimT0Tf via @yotpo,3
18,2020-12-03 20:39:23,1.3346E+18,"@MrMerryman @ourplace @CarawayHome Ohhhh yeah good moves, because she'll be living alone!",2
19,2020-12-03 18:50:06,1.33457E+18,@paige_sandhu @ourplace @CarawayHome SimplySafe home cameras?,2
20,2020-12-03 16:53:54,1.33454E+18,Is it normal to cry when your roommate's boyfriend ruins your @CarawayHome pan??,3
21,2020-12-02 18:46:51,1.33421E+18,@paige_sandhu @CarawayHome 🙌🏽 🍳🎁🏡 ✨,2
22,2020-12-02 17:52:46,1.33419E+18,"What do you gift a friend who just bought their first home? On my list of gifts are:
1. @ourplace or @CarawayHome cookware
2. Sonos speakers
3. Expert Craigslist/FB Marketplace sleuthing",3
23,2020-12-02 14:08:35,1.33414E+18,I just wrote a review on Sauce Pan https://t.co/5vLExv7f1I via @yotpo,3
24,2020-12-02 07:48:06,1.33404E+18,@JohnnyCrush Highly recommend https://t.co/blEI2QgKz0,3
25,2020-12-01 23:59:30,1.33392E+18,Powerful way to give back on #GivingTuesday https://t.co/fALYS1wRQI,2
26,2020-12-01 17:50:38,1.33383E+18,"This Giving Tuesday, we’re proud to partner with @FeedingAmerica to help provide food security to those in need. Shop with us through December 8th, and a portion of your Caraway purchase will go directly to bring hunger relief to families in America, up to 10,000 meals. https://t.co/1HoLjNDGqS",3
27,2020-12-01 16:09:04,1.33381E+18,@2PMinc Wishing our customers a happy #BFCM --- now go buy some stuff 👉 @hellotushy @tkees @snowehome @CarawayHome @patternbrands @unboundbabes @GetHoneyLove @MarketplaceVal @lootcrate @LastSwab @BirdRide @hubblecontacts @VinceroWatches @SpecialistID @hauslabs @DarnTough,2
28,2020-12-01 08:50:21,1.33369E+18,"@LibertyMan1776 @justholy_ Hi there! This definitely doesn’t sound like something that should be happening, and we’re so sorry to hear about your experience. Do you mind DMing us your email? We’ll pass it over to our CX team right away, and make this right!",2
29,2020-12-01 07:10:30,1.33367E+18,@justholy_ @CarawayHome Pans were destroyed in less than a week. Such a waste of money,1
30,2020-12-01 00:55:35,1.33358E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/36s1EoLYiK,2
31,2020-11-30 23:45:26,1.33356E+18,LAST DAY!! Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/jp3pX0c3XA,2
